pos,conc_random,conc_SE_random,conc_CV_random,conc_CV_SE_random
88.2,0.00412238282725987,4.08483899783306e-05,0.313347780871148,0.00726320145559863
90.65,0.00361115656103254,3.61195141466544e-05,0.316297371082249,0.0078315271217035
93.1,0.00318262457039301,3.15504549366061e-05,0.313487489986475,0.00716120450046503
95.55,0.00276755316705529,2.83044126541234e-05,0.323413522405994,0.00797156465593761
98,0.00246338595240253,2.57374975517862e-05,0.330395297810614,0.00830745773470328
100.45,0.0021458039333212,2.22708757050101e-05,0.328206559885162,0.00793996551839559
102.9,0.00188268017408928,1.97565015025739e-05,0.331843635496369,0.00847727160001361
105.35,0.00166166738163106,1.76980413531391e-05,0.336807001319558,0.00886844437871072
107.8,0.00145205586405441,1.54839686460197e-05,0.337208845418229,0.00766496426475784
110.25,0.00127057775642301,1.39527888117313e-05,0.347264007522068,0.00882416847883697
112.7,0.00111387571168864,1.22378304797118e-05,0.347430305992145,0.00902066003891603
115.15,0.000976291922631715,1.06816000037939e-05,0.345984477427599,0.00861651867856382
117.6,0.000855945938340423,9.69570614151817e-06,0.358206208564145,0.00924017347940649
120.05,0.000751640627587894,8.47403220274213e-06,0.356516688198115,0.00913988458807645
122.5,0.000665121242338804,7.66634033817322e-06,0.364491392597919,0.00992728450168666
124.95,0.000578596606884348,6.80877025812462e-06,0.372128384859162,0.00940855238974939
127.4,0.000505474148347492,5.89363314320546e-06,0.368709349170795,0.0107285425394466
129.85,0.000445147986178245,5.32686725617566e-06,0.378414231804289,0.0101494938838657
132.3,0.000390385730800601,4.71661514693517e-06,0.382064341342005,0.01135734705494
134.75,0.000343255106729155,4.03169771683034e-06,0.371424849115042,0.009883394230802
137.2,0.000299561290663291,3.56053121130514e-06,0.375862591689062,0.00998798026203688
139.65,0.000263721286059458,3.2019329543997e-06,0.383943260794362,0.0107409670208546
142.1,0.000231718898771756,2.82230309160754e-06,0.385160902460776,0.0117085272462266
144.55,0.000203294415751721,2.44949791705041e-06,0.381023379962266,0.010109605694989
147,0.000177966250389653,2.12803953510658e-06,0.37813078980361,0.0112396252857081
149.45,0.000155664254706337,1.90077765555525e-06,0.386137891993831,0.00978458001133811
151.9,0.000136727430990843,1.68044798962835e-06,0.388659619958228,0.0103944028851633
154.35,0.000119437990725711,1.4714725664464e-06,0.38959168654387,0.0114031390841474
156.8,0.000104966504034701,1.31576914164495e-06,0.396395726505974,0.0135542558844825
159.25,9.27488643080482e-05,1.14512305954382e-06,0.390430340722227,0.0106830203210441
161.7,8.12418486714712e-05,1.01670076536965e-06,0.395743101613287,0.0113301874852447
164.15,7.07112216118082e-05,8.79047912490336e-07,0.393119155987207,0.00923365032686761
166.6,6.27874722375305e-05,7.86685476718781e-07,0.396212464039874,0.0101118634072697
169.05,5.48350208362109e-05,6.94280883427156e-07,0.40038444301891,0.00948019562480991
171.5,4.82233317905162e-05,6.07724620117614e-07,0.398519537820527,0.00952427496730171
173.95,4.24108365080254e-05,5.38791312808498e-07,0.401738770624035,0.0099592812621754
176.4,3.67610593749422e-05,4.79041848031525e-07,0.412083699456294,0.0104291834898354
178.85,3.25273402532093e-05,4.20249577998951e-07,0.408562717349801,0.0104086366445552
181.3,2.84710437363879e-05,3.67205109716276e-07,0.407854564766573,0.010490921073123
183.75,2.50798049702724e-05,3.26879414751017e-07,0.412157699017715,0.011056193716145
186.2,2.19160703236166e-05,2.88494693463957e-07,0.416270029593355,0.0110400120499924
188.65,1.92494715831855e-05,2.49522423487734e-07,0.409912127767489,0.0107892396543034
191.1,1.69639877240159e-05,2.24383867264347e-07,0.418276706100007,0.0118956333288643
193.55,1.50042904896112e-05,1.95900794878298e-07,0.412877041857995,0.00988278422207136
196,1.31699787053149e-05,1.76555499892429e-07,0.423931978617684,0.0111864448728486
198.45,1.14638600952632e-05,1.53333369196586e-07,0.422966334148711,0.01041669990096
200.9,9.96667974061835e-06,1.32656558449162e-07,0.420899318705891,0.0114865505680063
203.35,8.85741746792696e-06,1.19733262938987e-07,0.427472030015586,0.0124337517838511
205.8,7.75341605692397e-06,1.03629780109559e-07,0.422660329540771,0.0114228044076525
208.25,6.84953798621247e-06,9.20382597857639e-08,0.424919948450764,0.0117838944192917
210.7,6.04531210114329e-06,8.20643694269044e-08,0.429275309186148,0.0124848719518315
213.15,5.32425034912477e-06,7.07058310702971e-08,0.419949204819031,0.0125674303167047
215.6,4.71339450983843e-06,6.26945766017514e-08,0.420626065964994,0.0106908696768423
218.05,4.17645397938678e-06,5.51880041204591e-08,0.417865953751112,0.011502844466964
220.5,3.75219137618451e-06,5.02780947910658e-08,0.423734506088256,0.0110157518794895
222.95,3.35041635536913e-06,4.56094381407854e-08,0.430482937126024,0.0128373313186321
225.4,3.00769992001174e-06,4.07153029017656e-08,0.428078253207985,0.0105839455649124
227.85,2.73230817449112e-06,3.68751386501534e-08,0.426779922768813,0.0115067346653026
230.3,2.49692913482052e-06,3.33301911966031e-08,0.422115780381308,0.0120142586618744
232.75,2.29495023916703e-06,3.06171872154659e-08,0.421882991170224,0.010888630566719
